8691158	b' I am making an ajax call to a php file on my server.  \n\n That php file retrieves some info from various websites, so an ajax call can take 30 seconds to complete in the worst case.  \n\n All I want to do is to set a timeout value for the ajax call and to trigger a function when timeout is reached.  \n\n I think jQuery .complete is what I am looking for since it is called in any case but how to detect if it is called on timeout? \n'
8691162	b' See  the iPhone page  for an example of what I\'m talking about. \n\n Apple positions its slideshow within a wrapper: \n\n  &lt;div id="wrapper"&gt;\n    &lt;div id="clip"&gt;\n        &lt;!-- Slideshow here --&gt;\n    &lt;/div&gt;\n\n    ...\n&lt;/div&gt;\n  \n\n Here\'s the CSS for the wrapper. \n\n \n\n However, inspecting the document through Firebug, I found that its slideshow is much larger, but it still manages to be displayed without scrollbars. How does it do that? \n\n Here\'s the CSS for the slideshow: \n\n \n'
8691166	b' Actually, you can use  .error  for that instead of  .complete . \n\n \n\n  textStatus  will be "timeout". \n'
8691170	b' from     \n\n complete(jqXHR, textStatus) \n\n A function to be called when the request finishes (after success and error callbacks are executed). The function gets passed two arguments: The jqXHR (in jQuery 1.4.x, XMLHTTPRequest) object and a string categorizing the status of the request ("success", "notmodified", "error", "timeout", "abort", or "parsererror"). \n'
8691183	b'  overflow: hidden  will hide scroll bars.  \n'
8691184	b" It's the  overflow  property with the  hidden  value. \n"
8691202	b' I\'m working on comparing two versions of a listview, for a settings form. I need to know if the user actually modified the list at all, in which case when they click "Save" I\'ll actually save. If they didn\'t change anything, when they click "Save" I won\'t be wasting memory/time re-saving something they didn\'t change. \n\n  Anyway, how can I compare two ObservableCollections to see if they are at all different?  \n\n Thanks in advance! \n'
8691225	b" My program is a game that uses RMI to allow users to connect to the central server.  The game works fine on computers within my home network.  I want remote users outside of my network to be able to connect to the server. \n\n Based on a similar thread's recommendation I set up a no-ip.com account to map a domain to my game-server so that my computer is publicly accessible. \n\n I changed my code to get a class stub From: \n\n \n\n To: \n\n \n\n However this new code gets a  java.rmi.ConnectException: Connection refused to host:  error.  I used the port checker tool on canyouseeme.org and found that my port 1099 is open.  I'm not sure what else I need to do in order to make my program accessible. \n\n BTW: I am using NetBeans IDE with Glassfish \n"
8691227	b' Edit : \n\n \n\n you can check this flag variable before saving. This would do ! if its true, save it ! \n'
8691233	b" I'm writing an application to render trails on a map. I would like to dynamically modify the color of these trails depending on eg. how muddy they are. \n\n I'm using the Google Maps v3 API. \n\n I would like to do everything in Javascript, if possible. The KML may not be served on the same domain as the page containing the Javascript so I might not be able to XmlHttpRequest it. \n\n It looks like the color is specified in the KML file itself, so I could write server-side code to fetch the original KML and re-serve a modified version of it. \n\n My question is: can I do this without server-side processing and just set a property on the KmlLayer to set the color? \n"
8691236	b' I have a button with  onclick="sendNews()"  and a PHP script which does the database work.\nThe problem is that the  $_POST  array is empty when  sendNews  runs. \n\n Javascript: \n\n \n\n PHP: \n\n \n\n Where\'s the problem? \n'
